       , ch130, eil51, eil101, kroA100, kroA150, kroA200, pr76, rat99, rat195, st70, burma14, ulysses16, gr96, gr137, gr202, gr229
fi+ls-1,108.38,105.40,109.54,104.27,107.54,110.90,105.37,111.40,112.18,110.37,108.67,102.68,107.94,110.65,109.93,108.87
gr+ls-1,113.52,107.28,110.49,109.93,107.64,108.45,104.51,106.44,112.10,105.93,105.00,101.66,110.61,112.25,111.34,105.03
ni+ls-1,109.10,105.40,110.65,108.71,106.29,111.79,108.83,113.13,113.26,110.07,109.36,103.25,109.66,108.85,110.84,112.25
fi+ls-2,106.04,104.69,107.31,110.32,109.02,108.27,107.79,111.48,109.78,105.63,105.00,103.66,114.13,108.03,108.44,112.88
fi+ls-3,110.10,104.93,109.06,107.75,109.14,109.63,104.34,110.16,109.30,108.59,103.94,101.98,105.79,107.57,107.67,105.17
fi+ls-4,110.28,103.76,107.79,115.00,112.55,106.59,109.59,107.60,111.24,109.33,103.94,102.65,109.59,110.59,107.98,110.76
fi+ls-5,107.95,106.10,107.15,105.24,109.59,113.36,102.31,109.83,111.67,106.07,104.85,101.62,108.32,111.84,108.73,108.45
fi+ls-6,110.44,105.40,110.33,112.71,108.86,108.37,107.80,108.26,108.39,108.89,103.94,101.98,103.69,109.49,108.00,107.98
fi+ls-7,104.17,101.41,104.29,101.15,102.89,106.94,101.32,104.13,105.61,101.93,103.94,100.92,102.80,103.16,105.22,104.27
fi+ls-8,104.80,101.41,104.29,101.89,102.89,107.01,101.32,104.13,105.52,101.93,103.94,100.92,102.80,105.16,105.23,105.35
